study,case,h,eta,seed,arm,status,censored,failure_step,failure_message,B0,B1,E2,K_modes,K_tightened,Linf_rel,delta_nom,delta_real,eps_abs,forward_residual,gate_eps_floor,gate_tightened,mass_change_rel,mass_error_rel,mass_reconstruction,max_abs_score,min_raw_density,min_reconstruction,min_regularized_denominator,negative_fraction,negative_mass_removed,tightened_max_change,tv_reconstruction,tv_reference
noise_paired,C1,0.005,0.0,none,shared,completed,False,,,1.5165968367298789e-13,2.474784898413212e-10,0.6103465865726054,511,547,1.5223470542670996,0.0,0.0,1e-08,0.08107032150284703,True,True,0.0,2.220446049250313e-16,1.0000000000000002,295.9755706620701,0.2547046759773083,0.025603948969163626,0.2547046859773083,0.0,0.0,8.327010138228545e-13,135.01125202538282,2.9999151839096183
noise_paired,C1,0.007,0.0,none,shared,completed,False,,,1.0544576542023019e-13,1.229522131188239e-10,0.643154650260973,365,391,1.4202412321651923,0.0,0.0,1e-08,0.07776382724266712,True,True,0.0,6.661338147750939e-16,1.0000000000000007,211.7540757623457,0.2349057657183512,0.003855226868315742,0.2349057757183512,0.0,0.0,3.413651654252702e-11,98.86009745425795,2.9999151839096183
noise_paired,C1,0.01,0.0,none,shared,completed,False,,,8.0548911221889e-14,6.56596761882447e-11,0.5682527019741203,255,273,1.0401704974595174,0.0,0.0,1e-08,0.06961706471459103,True,True,0.0,6.661338147750939e-16,1.0000000000000007,148.05241619034106,0.1834005661613305,0.01689442425093124,0.1834005761613305,0.0,0.0,1.1290141238037777e-11,66.56282761230592,2.9999151839096183
noise_paired,C1,0.014,0.0,none,shared,completed,False,,,5.731793965352897e-14,3.3375301724555856e-11,0.6365325146762892,182,195,1.2299320567827692,0.0,0.0,1e-08,0.0535973584463791,True,True,0.0,2.220446049250313e-16,1.0000000000000002,106.85848108657297,0.2340736577051159,0.027267689408184692,0.2340736677051159,0.0,0.0,8.851892631259946e-11,50.56296065141939,2.9999151839096183
noise_paired,C1,0.02,0.0,none,shared,completed,False,,,4.527748955587053e-14,1.8422419227263928e-11,0.37813172575664533,127,136,0.4642905021683321,0.0,0.0,1e-08,0.00940300062450022,True,True,0.0,2.220446049250313e-16,1.0000000000000002,69.96661013242131,0.20030635448805534,0.13371204098760903,0.20030636448805533,0.0,0.0,1.0944381604434711e-14,24.939648378331515,2.9999151839096183
noise_paired,C1,0.028,0.0,none,shared,completed,False,,,2.3493682586632454e-14,6.8608788925881825e-12,0.02525093449851037,91,98,0.04214265474814915,0.0,0.0,1e-08,0.009280501703243968,True,True,0.0,4.440892098500626e-16,1.0000000000000004,5.3299676374946845,0.5634184432806449,0.5631877761745436,0.563418453280645,0.0,0.0,2.0327994111885198e-16,2.7345327614854336,2.9999151839096183
noise_paired,C1,0.04,0.0,none,shared,completed,False,,,2.819778764045183e-14,5.719573996132623e-12,0.04354201080371066,63,68,0.05607711097615549,0.0,0.0,1e-08,0.01808391734222744,True,True,0.0,4.440892098500626e-16,1.0000000000000004,4.476349158456673,0.5844039219862414,0.5841193055788925,0.5844039319862414,0.0,0.0,2.2450214550582995e-16,2.5982372834228897,2.9999151839096183
noise_paired,C1,0.005,0.001,0,R,completed,False,,,1.5163991706904942e-13,2.4744623466859824e-10,0.8521074897925615,511,547,1.5966838976509514,0.001193298982343257,0.001251015160802076,9.99869664742404e-09,0.08294146144366009,True,True,0.0,1.1103677446911874e-16,0.999869664742404,347.2296980208658,0.19605224153538592,0.002568969165214763,0.19605225153408257,0.0,0.0,1.4831182177381137e-10,149.93718013546842,2.9999151839096183
noise_paired,C1,0.007,0.001,0,R,completed,False,,,1.0543202211923173e-13,1.2293618811045504e-10,0.7625016304562502,365,391,1.478336994991291,0.001193298982343257,0.001251015160802076,9.99869664742404e-09,0.08097540916497348,True,True,0.0,1.1103677446911874e-16,0.9998696647424038,262.08572301959015,0.12527833923301246,0.003079980626448764,0.1252783492317091,0.0,0.0,1.405279076410725e-11,105.6760573752593,2.9999151839096183
noise_paired,C1,0.01,0.001,0,R,completed,False,,,8.05384128587958e-14,6.565111841743503e-11,0.7544680517033351,255,273,1.5858297765571465,0.001193298982343257,0.001251015160802076,9.99869664742404e-09,0.07678523719800212,True,True,0.0,1.1103677446911874e-16,0.9998696647424038,158.06150637643222,0.16755231078748678,0.006211387795843404,0.16755232078618343,0.0,0.0,1.0153833253558267e-10,74.27226863027138,2.9999151839096183
